"# Note: This is an example template, replace addresses and info below with your own",,,,,,updated from kehe as of:,3/25/2014
"# not all address fields are required, but the more you have, the more accurate your geocoding will be",,,,,,updated for other stores as of:,8/14/2014
"# you can add your own columns as well, or get rid of ones you don't need (email, URL, etc.)",,,,,,,
"# when you are done entering your addresses, copy/paste the data into Step #1 on BatchGeo.com",,,,,,,
Address,City,State,Zipcode,Name,Phone Number,URL,
3360 Larimer St.,Denver,CO,80205,NOOCH | Vegan Market ,(720) 328-5324,https://www.facebook.com/noochveganmarket,
4274 Peachtree Rd NE,Atlanta,GA,30319,4 Kicks Ltd,,,
5120 Belmont Road Suite G,Downers Grove,IL,60515,ADG Nutrition,,,
7807 E 51st Street,Tulsa,OK,74145,Akin’s Natural Foods,,http://www.akins.com/,
3321 E 31St Street,Tulsa,OK,74135,Akin’s Natural Foods,,http://www.akins.com/,
2924 NW 63rd Street,Oklahoma City,OK,73116,Akin’s Natural Foods,,http://www.akins.com/,
"6900 “O” Street, Ste 100",Lincoln,NE,68510,Akin’s Natural Foods,,http://www.akins.com/,
1344 E Battlefield,Springfield,MO,65804,Akin’s Natural Foods,,http://www.akins.com/,
2913 SW 29th,Topeka,KS,66614,Akin’s Natural Foods,,http://www.akins.com/,
2370 W. Memorial Rd.,Oklahoma City,OK,73134,Akin’s Natural Foods,,http://www.akins.com/,
12003 S. Memorial Drive,Bixby,OK,74008,Akin’s Natural Foods,,http://www.akins.com/,
8409 West Center Rd,Omaha,NE,68124,Akin’s Natural Foods,,http://www.akins.com/,
4019 W Walnut,Rogers,AR,72756,Akin’s Natural Foods,,http://www.akins.com/,
3514 N. Southport Ave.,Chicago,IL,60657,Aligned Modern Health,(773) 248-2544,,
2321 S ONIEDA STREET                    ,GREEN BAY,WI ,54304       ,B-ALIVE     FF#902015,,,
2187 W South Lp,Stephenville,TX,76401,Barefoot Market,,,
276 U.S. 202 #1,Flemington,NJ,8822,Basil Bandwagon Natural Market,,,
14500 Juanita Dr NE ,Kenmore,WA,98028,Bastyr University - Bookstore,(425) 602-3000,http://bookstore.bastyr.edu/default.aspx,
3130 Alpine Road,Portola Valley,CA,94028,Bianchini's Market - Portola Valley ,(650) 851-4391,http://www.bianchinismarket.com/,
239 N UNION ST                          ,LAMBERTVILLE,NJ ,08530       ,BIG BEAR NATURAL FOODS,,,
3312 N Broadway,Chicago,IL,60657,Bountiful Eatery,(773) 687-9811,http://bountifuleatery.com/,
601 FM 1187 N SUITE 5                   ,ALEDO,TX ,76008       ,BULK & BUNCHES,,,
3409 Edgmont Avenue,Brookhaven,PA,19015,Burman's Natural Foods,(610) 874-8418,,
"The Ferry Building 1 Ferry Bldg, Ste 38C",San Francisco,CA,94111,Buyer's Best Friend - Wholesale and Market,(415) 223-3912,,
1740 Haight St,San Francisco,CA,94117,Buyer's Best Friend Mercantile Store,(415) 375-0439,,
135 Argall Way,Nevada City,CA,95959,California Organics,(530) 265-9392,,
2749 100TH ST.                          ,URBANDALE,IA ,50322       ,CAMPBELL'S *INFRA*,,,
"4040 UNIVERSITY, STE. D                 ",DES MOINES,IA ,50311       ,CAMPBELL'S NUTRITION *INFRA*,,,
1086 Montgomery Road,Altamonte Springs,FL,32714,Chamberlin’s Natural Foods,,http://www.chamberlins.com/,
"7600 Dr. Phillips Blvd, Ste 88",Orlando,FL,32819,Chamberlin’s Natural Foods,,http://www.chamberlins.com/,
430 N. Orlando Ave.,Winter Park,FL,32789,Chamberlin’s Natural Foods,,http://www.chamberlins.com/,
"1170 Oviedo Market Place Blvd, Ste 1000",Oviedo,FL,32765,Chamberlin’s Natural Foods,,http://www.chamberlins.com/,
1531 US Hwy 98 South,Lakeland,FL,33801,Chamberlin’s Natural Foods,,http://www.chamberlins.com/,
1114 N John Young Parkway,Kissimmee,FL,34741,Chamberlin’s Natural Foods,,http://www.chamberlins.com/,
6551 E RIVERSIDE BLVD                   ,ROCKFORD,IL ,61114       ,CHOICES NATURAL MARKET *INFRA*,,,
871 ANNAPOLIS ROAD,GAMBRILLS,MD,21054,David's Natural Market,(410) 987-1533,http://www.davidsnaturalmarket.com,
"2211 York Road, Suite 103",Oak Brook,IL,60523,Equator Lobby Shop,,,
213 West Institute Place #709,Chicago,IL,60610,Flex Pilates Chicago,(312) 587-9000,http://flexpilateschicago.com/,
2655 EAST GRAND RIVER                   ,EAST LANSING,MI ,488235608   ,FOODS FOR LIVING,,,
1575 Main St,Hellertown,PA,18055,Frey's Better Foods,,,
1855 E MAIN ST                          ,SPARTANBURG,SC ,293072309   ,GARNERS NATURAL FOODS,,,
41 Clementon Rd,Berlin,NJ,08009,Good 4U Health Foods General,(856) 753-1472,,
336 West Main,American Fork,UT,84003,Good Earth Natural Foods,,http://www.goodearthnaturalfoods.com/,
500 S State,Orem,UT,84058,Good Earth Natural Foods,,http://www.goodearthnaturalfoods.com/,
1045 South University Ave,Provo,UT,84601,Good Earth Natural Foods,,http://www.goodearthnaturalfoods.com/,
1050 West Riverdale,Road Riverdale,UT,84405,Good Earth Natural Foods,,http://www.goodearthnaturalfoods.com/,
7905 South 700 East,Sandy,UT,84070,Good Earth Natural Foods,,http://www.goodearthnaturalfoods.com/,
41675 PARK AVE                          ,LEONARDTOWN,MD ,206500540   ,GOOD EARTH NATURAL FOODS,,,
1500 BROWNS BRIDGE RD                   ,GAINESVILLE,GA ,30504       ,GOOD NUTRITION GAINESVILLE,,,
