Address,City,State,Zipcode,Name,Phone,URL,longitude,latitude,,
2530 Georgia Street South            ,AMARILLO,TX ,79109,UNITED #526 #10526,(806) 468-9900,,-101.868012,35.187345,,
920 Foothill Blvd,La Canada Flintridge,CA,91011,Sprouts Farmers Market,,,-118.19855,34.211623,,
687 S. Coast Highway 101,ENCINITAS,CA,92024,Whole Foods Market ENCINITAS,,http://www.wholefoodsmarket.com/,-117.293026,33.044081,,
"2600 Via De La Valle, Suite 100",DEL MAR,CA,92014,Whole Foods Market DEL MAR,,http://www.wholefoodsmarket.com/,-117.251812,32.981704,,
2 Somerset St.,PORTLAND,ME,4101,Whole Foods Market PORTLAND ,,,-70.258979,43.663524,,
331 Paradise Road,SWAMPSCOTT,MA,1907,Whole Foods Market SWAMPSCOTT,,,-70.904882,42.479094,,
"94 Derby Street, Suite 200",HINGHAM,MA,2043,Whole Foods Market HINGHAM,,,-70.90956,42.17756,,
100 Market Street,LYNNFIELD,MA,1940,Whole Foods Market LYNNFIELD,,,-71.02967,42.5151,,
181 Cambridge St.,BOSTON,MA,2114,Whole Foods Market CHARLES RIVER PLAZA,,,-71.065349,42.362058,,
78 CRANDALL ROAD                        ,LITTLE COMPTON,RI ,2837,SIMMONS CAFE AND MARKET,,,-71.12899,41.554479,,
200 Alewife Brook Parkway,CAMBRIDGE,MA,2138,Whole Foods Market FRESH POND,,,-71.141616,42.389194,,
40 Railroad St.,ANDOVER,MA,1810,Whole Foods Market ANDOVER,,,-71.145016,42.660961,,
950 Providence Highway,DEDHAM,MA,2026,Whole Foods Market DEDHAM,,,-71.17925,42.2313,,
170 Great Road,BEDFORD,MA,1730,Whole Foods Market BEDFORD,,,-71.274087,42.490354,,
601 N. Main & Doyle Ave.,PROVIDENCE,RI,2904,Whole Foods Market UNIVERSITY HTS,,,-71.408254,41.837167,,
575 Worchester Road,FRAMINGHAM,MA,1701,Whole Foods Market FRAMINGHAM,,,-71.42097,42.298601,,
270 LONDONDERRY TURNPIKE                ,HOOKSETT,NH ,3106,NATURAL CHOICE MARKET *INFRA*,,,-71.428232,43.045206,,
327 Russell Street,HADLEY,MA,1035,Whole Foods Market HADLEY,,,-72.555315,42.353117,,
55 Welles Street,GLASTONBURY,CT,6033,Whole Foods Market GLASTONBURY,,,-72.607726,41.714812,,
920 RIVER STREET SUITE E                ,WINDSOR,CT ,6095,WEB VITAMINS,,,-72.646888,41.895434,,
50 Raymond Road,WEST  HARTFORD,CT,6107,Whole Foods Market WEST HARTFORD,,,-72.738817,41.760876,,
21 ESSEX WAY STE 418                    ,ESSEX,VT ,5452,SWEET CLOVER MARKET,,,-73.080066,44.508192,,
42 Forest Ave,Glen Cove,NY,11542,Rising Tide Natural Market,(516) 676-7895,,-73.62669,40.87111,,
360 NASSAU STREET,PRINCETON,NJ,8540,Whole Earth Center,(609) 924-7429,http://www.wholeearthcenter.com/,-74.64504,40.35431,,
276 U.S. 202 #1,Flemington,NJ,8822,Basil Bandwagon Natural Market,,,-74.853194,40.49836,,
41 Clementon Rd,Berlin,NJ,8009,Good 4U Health Foods General,(856) 753-1472,,-74.940474,39.798503,,
239 N UNION ST                          ,LAMBERTVILLE,NJ ,8530,BIG BEAR NATURAL FOODS,,,-74.948335,40.375592,,
1575 Main St,Hellertown,PA,18055,Frey's Better Foods,,,-75.33973,40.592217,,
3409 Edgmont Avenue,Brookhaven,PA,19015,Burman's Natural Foods,(610) 874-8418,,-75.38373,39.87,,
5 N STATE ST                            ,NEWTOWN,PA ,18940,GRAPEVINE NATURAL GROCERY,,,-75.7051,41.49563,,
41675 PARK AVE                          ,LEONARDTOWN,MD ,20650,GOOD EARTH NATURAL FOODS,,,-76.634522,38.289994,,
871 ANNAPOLIS ROAD,GAMBRILLS,MD,21054,David's Natural Market,(410) 987-1533,http://www.davidsnaturalmarket.com,-76.66906,39.066716,,
918 WEST CORBETT AVE (HWY 24)           ,SWANSBORO *COD*,NC ,28584,NEW BRIDGE ORGANIC MKT #2,,,-77.141291,34.699035,,
708 NEW BRIDGE ST    ** COD **          ,JACKSONVILLE,NC ,28540,NEW BRIDGE ORGANIC MARKET,,,-77.42252,34.74945,,
305 E Market St,Leesburg,VA,20176,Healthy By Nature Health Store,,,-77.560134,39.111941,,
341 E Colonial Hwy,Hamilton,VA,20158,Natural Mercantile Store,,,-77.656529,39.133998,,
1505 Enterprise Drive,Lynchburg,VA,24502,Health Nut Nutrition,,,-79.240758,37.357704,,
602 James Doak Pkwy,Greensboro,NC,27455,American Discount Books LLC,,,-79.820708,36.200459,,
"1170 Oviedo Marketplace Blvd, Ste 1000",Oviedo,FL,32765,Chamberlinís Natural Foods,,http://www.chamberlins.com/,-81.2384,28.66084,,
430 N. Orlando Ave.,Winter Park,FL,32789,Chamberlinís Natural Foods,,http://www.chamberlins.com/,-81.364429,28.600805,,
1086 Montgomery Road,Altamonte Springs,FL,32714,Chamberlinís Natural Foods,,http://www.chamberlins.com/,-81.404076,28.686489,,
1114 N John Young Parkway,Kissimmee,FL,34741,Chamberlinís Natural Foods,,http://www.chamberlins.com/,-81.416173,28.301951,,
"7600 Dr. Phillips Blvd, Ste 88",Orlando,FL,32819,Chamberlinís Natural Foods,,http://www.chamberlins.com/,-81.49056,28.45143,,
1855 E MAIN ST                          ,SPARTANBURG,SC ,293072309,GARNERS NATURAL FOODS,,,-81.89272,34.967076,,
1531 US Hwy 98 South,Lakeland,FL,33801,Chamberlinís Natural Foods,,http://www.chamberlins.com/,-81.92823,28.02687,,
1 MARKET STREET                         ,BREVARD,NC ,28712,FOOD MATTERS MARKET*INFRA*,,,-82.721052,35.252687,,
1210 Pasadena Ave S,South Pasadena,FL,33707,Health Food Plus & Herbs Inc,,,-82.736355,27.757429,,
3509 N High Street,Columbus,OH,43214,Momentum 98 Health Store,(614) 262-7087,,-83.016777,40.033681,,
1203 S MAIN ST                          ,ROYAL OAK,MI ,48067,HOLIDAY FOOD CENTER,,,-83.142933,42.479048,,
1203 S Main St,Royal Oak,MI,48067,Holiday Market,,,-83.14294,42.47904,,
34164 Plymouth Rd,Livonia,MI,48150,Zerbo's Health Foods,(734) 427-3144,http://www.zerbos.com,-83.381001,42.368465,,
